DATE,GDPC1
01-01-2017,17896.623
01-04-2017,17996.802
01-07-2017,18126.226
01-10-2017,18296.685
01-01-2018,18436.262
01-04-2018,18590.004
01-07-2018,18679.599
01-10-2018,18721.281
01-01-2019,18833.195
01-04-2019,18982.528
01-07-2019,19112.653
01-10-2019,19202.31
01-01-2020,18951.992
01-04-2020,17258.205
01-07-2020,18560.774
01-10-2020,18767.778
01-01-2021,19055.655
01-04-2021,19368.31
01-07-2021,19478.893
01-10-2021,19806.29
01-01-2022,19735.895
